"SRNumber","CreatedDate","RequestType","Status","Address","Latitude","Longitude","CD","NCName"
"1-3239043491","2023-01-06T09:30:48.000","Illegal Dumping Pickup","Closed","3118 S LA SALLE AVE, 90018","34.0258866495","-118.30522373","8","Empowerment Congress North"
"1-3239046151","2023-01-06T09:30:59.000","Bulky Items","Closed","1320 W 85TH ST, 90044","33.9607008686","-118.29899353","8","Empowerment Congress Southwest"
"1-3239059631","2023-01-06T09:31:54.000","Graffiti Removal","Cancelled","3103 E ALTURA ST, 90031","34.0756197864","-118.208924548","14","Lincoln Heights"
"1-3239063601","2023-01-06T09:32:27.000","Bulky Items","Closed","15455 W PARTHENIA ST, 91343","34.2284196826","-118.469405082","6","North Hills East"
"1-3239062761","2023-01-06T09:32:46.000","Bulky Items","Closed","10418 N WILSEY AVE, 91042","34.2582116395","-118.296903765","7","Sunland-Tujunga"
"1-3239070021","2023-01-06T09:32:56.000","Bulky Items","Closed","7607 1/2 S MAIN ST, 90003","33.9705618403","-118.274224194","9","CANNDU"
"1-3239069311","2023-01-06T09:33:06.000","Bulky Items","Closed","12024 W KLING ST, 91607","34.1556730441","-118.395055779","2","Valley Village"
"1-3239068371","2023-01-06T09:33:06.000","Bulky Items","Closed","1805 S LONGWOOD AVE, 90019","34.0425878885","-118.344512242","10","Mid City"
"1-3239066491","2023-01-06T09:33:14.000","Homeless Encampment","Pending","6060 W 6TH ST, 90036","34.0647714937","-118.360947248","5","Mid-City West"
"1-3239074011","2023-01-06T09:33:49.000","Bulky Items","Closed","13454 W ASTORIA ST, 91342","34.3227792828","-118.425956388","7","Sylmar"
"1-3239076651","2023-01-06T09:33:50.000","Bulky Items","Closed","9522 N REVERIE ROAD, 91042","34.2427641616","-118.292797623","7","Sunland-Tujunga"
"1-3239082161","2023-01-06T09:34:21.000","Bulky Items","Closed","1104 S HOLT AVE, 90035","34.0569268084","-118.378229056","5","South Robertson"
"1-3239074641","2023-01-06T09:34:21.000","Bulky Items","Closed","4200 S BROADWAY, 90037","34.0072192297","-118.278175669","9","Zapata-King"
"1-3239084241","2023-01-06T09:34:27.000","Bulky Items","Closed","13454 W ASTORIA ST, 91342","34.3227792828","-118.425956388","7","Sylmar"
"1-3239092181","2023-01-06T09:34:53.000","Bulky Items","Closed","10418 N WILSEY AVE, 91042","34.2582116395","-118.296903765","7","Sunland-Tujunga"
"1-3239096951","2023-01-06T09:35:01.000","Bulky Items","Closed","13068 W GLAMIS ST, 91331","34.2560740923","-118.417581775","7","Pacoima"
"1-3239100931","2023-01-06T09:35:26.000","Bulky Items","Closed","9079 N VARNA AVE, 91331","34.2348539682","-118.432729414","6","Arleta"
"1-3239101551","2023-01-06T09:35:34.000","Bulky Items","Closed","13044 W NORTH ICON CIR, 90094","33.9712798907","-118.423662384","11","Westchester/Playa"
"1-3239108001","2023-01-06T09:35:52.000","Bulky Items","Closed","5827 W CARLTON WAY, 90028","34.1005815375","-118.316890124","13","Hollywood Studio District"
"1-3239110471","2023-01-06T09:36:01.000","Bulky Items","Closed","19243 W CASTLEBAY LANE, 91326","34.2934824731","-118.553308844","12","Porter Ranch"
"1-3239111071","2023-01-06T09:36:23.000","Bulky Items","Closed","13060 W OSBORNE ST, 91331","34.2479353531","-118.417756829","7","Pacoima"
"1-3239106081","2023-01-06T09:36:27.000","Bulky Items","Closed","667 E FLOWER AVE, 90291","33.9994282469","-118.469493864","11","Venice"
"1-3239114591","2023-01-06T09:36:53.000","Bulky Items","Closed","4735 N ALONZO AVE, 91316","34.1565434414","-118.521585638","4","Encino"
"1-3239119411","2023-01-06T09:37:09.000","Bulky Items","Closed","2421 N JOHNSTON ST, 90031","34.0744293553","-118.210544125","1","Lincoln Heights"
"1-3239129821","2023-01-06T09:37:59.000","Bulky Items","Closed","3909 S MICHAEL AVE, 90066","33.9960086086","-118.441899191","11","Mar Vista"
"1-3239127041","2023-01-06T09:38:00.000","Homeless Encampment","Closed","1620 S LINCOLN BLVD, 90291","33.9970037349","-118.458495499","11","Venice"
"1-3239122541","2023-01-06T09:38:01.000","Illegal Dumping Pickup","Closed","14007 W VANOWEN ST, 91405","34.1940662151","-118.438301819","2","Van Nuys"
"1-3239128881","2023-01-06T09:38:04.000","Graffiti Removal","Closed","4274 S MAIN ST, 90037","34.0058635681","-118.273828213","9","Zapata-King"
"1-3239128899","2023-01-06T09:38:05.000","Graffiti Removal","Closed","123 E VERNON AVE, 90011","34.0039693876","-118.273044851","9","Zapata-King"
"1-3239128887","2023-01-06T09:38:05.000","Graffiti Removal","Closed","4156 S MAIN ST, 90037","34.0080836224","-118.273919959","9","Zapata-King"
"1-3239128892","2023-01-06T09:38:05.000","Graffiti Removal","Closed","39TH ST AT MAIN ST, 90011","34.0120562107","-118.274049131","9","South Central"
"1-3239131904","2023-01-06T09:38:05.000","Graffiti Removal","Closed","132 E VERNON AVE, 90011","34.0036276513","-118.273262048","9","Zapata-King"
"1-3239131918","2023-01-06T09:38:06.000","Graffiti Removal","Closed","345 E 51ST ST, 90011","33.9966440578","-118.268572955","9","Zapata-King"
"1-3239131925","2023-01-06T09:38:06.000","Graffiti Removal","Closed","336 E 47TH PL, 90011","34.0000274087","-118.269824561","9","Zapata-King"
"1-3239131912","2023-01-06T09:38:06.000","Graffiti Removal","Closed","SLAUSON AVE AT WALL ST, 90003","33.9891898481","-118.271850697","9","CANNDU"
"1-3239132691","2023-01-06T09:38:33.000","Graffiti Removal","Closed","3400 S BROADWAY, 90007","34.0188984576","-118.273757078","9","South Central"
"1-3239132786","2023-01-06T09:38:33.000","Graffiti Removal","Closed","200 W 37TH PL, 90007","34.015038208","-118.276476662","9","South Central"
"1-3239132836","2023-01-06T09:38:33.000","Graffiti Removal","Closed","3751 S BROADWAY PL, 90007","34.014324739","-118.275630538","9","South Central"
